id,context,english
grimoire.entries.origin-reagents.body,Grimoire entry body text,"[A counter is only half made when it leaves the forge. Every decisive work must be quenched in something that answers *how the evil began*, and the three beginnings demand three different things. What was cursed in the deep past yields to what the parish blessed in the deep past: hallowed water from the font. What was born of a wrong done between the living yields to earth from the wronged one's own plot, because a debt answers to the one it was owed. What was a compact broken yields to the compact's own seal, the promise and the withholding together in one piece of wax. Read the beginning before you light the forge. You can carry all three and be certain — but you will pay for the certainty in daylight, and daylight is the one thing you cannot craft.]"
grimoire.entries.origin-reagents.title,Grimoire entry title,[Of Quenching the Work]
grimoire.entries.preparations.body,Grimoire entry body text,[A snare set in a doorway has killed more monsters than any sword. A draught of moon-herb has saved more hunters than any prayer. Take the hour at the forge; the grave you dodge may be your own.]
grimoire.entries.preparations.title,Grimoire entry title,[Of Preparations]
grimoire.entries.reign-of-fear.body,Grimoire entry body text,"[Some monsters kill to be feared, and grow strong on the fearing. Each outrage it lands unanswered, it swells bolder and harder to put down. Do not give it the week it wants.]"
grimoire.entries.reign-of-fear.title,Grimoire entry title,[Of a Reign of Fear]
grimoire.entries.restless-dead.body,Grimoire entry body text,"[Corpses walked by another's will. Slow — mercifully slow — but tireless, and strong enough to matter if you let them lay hands on you. Where the restless dead shuffle, a greater dead commands.]"
grimoire.entries.restless-dead.title,Grimoire entry title,[Of the Restless Dead]
grimoire.entries.revenant.body,Grimoire entry body text,"[A corpse that rose with unfinished business and no intention of leaving it so. It sleeps in its own grave between errands. No blade nor ball bites it while its shroud of grave-shadow holds; the shroud thins for a moment at its own slow rhythm — you will see it, and it knows you can. It flows across ground unnaturally fast when it wishes, and it wishes it mostly when retreating from your steel or closing on your throat. Consecrated ground holds the shroud open and scalds it; a binding charm pressed close does the same for a handful of breaths. Learn the rhythm, or bring the counter.]"
grimoire.entries.revenant.title,Grimoire entry title,[Of the Revenant]
grimoire.entries.silver-bullet.body,Grimoire entry body text,"[True silver is the old wound the curse remembers. A ball of it, cast honest over a forge, bites the beast to the quick — and what silver tears, no moon can mend. Churches keep more silver than they know; so do abandoned mines.]"
grimoire.entries.silver-bullet.title,Grimoire entry title,[Of Silver]
grimoire.entries.the-calling.body,Grimoire entry body text,"[It does not hunt. It invites. One by one the valley folk get up in the night, unlatch their own doors, and walk out unhurried along a road they have never chosen — and something at the far end keeps the tally. You will find no struggle and no blood, only even-strided footprints leading away, and stones set along the trail scored with the same mark and placed each within sight of the next. That is a road built to be followed by someone not deciding to follow it. Throw the route-stones down and grind the marks off, and the ones who walk out that night will come to themselves cold and bewildered at the trail's edge, and the tally will fall short.]"
grimoire.entries.the-calling.title,Grimoire entry title,[Of the Calling]
grimoire.entries.thrall.body,Grimoire entry body text,"[Those who answered the call and kept walking. They come at you steadily and without malice, and their eyes pass over your face without finding anything in it. They can be put down like anything else, and it is worth remembering while you do it that a week ago one of them sold you bread.]"
grimoire.entries.thrall.title,Grimoire entry title,[Of Thralls]
grimoire.entries.threat-tiers.body,Grimoire entry body text,"[Every night you spend certain-but-unready, the enemy spends feeding. An evil that lands its outrages grows in hide and cunning both. The prepared early hunt is the master's stroke; the patient hunt is the journeyman's; the hunt on the final night is the one you did not choose.]"
grimoire.entries.threat-tiers.title,Grimoire entry title,[Of Letting Evil Wait]
grimoire.entries.werewolf.body,Grimoire entry body text,"[By day it wears a neighbour's face and does a neighbour's work; you will not know it by looking. By night it is appetite in a grey hide. Its wounds close as fast as you can deal them — save one kind. Watch for the gather-and-leap: given a clear run it will cross half a field in a heartbeat, so keep a tree, a cart, a wall between you and it. Break its lane and you break its favourite trick. Two honest proofs of its day-name are enough to hunt it; one is gossip, and gossip hangs innocents.]"
grimoire.entries.werewolf.title,Grimoire entry title,[Of the Werewolf]
grimoire.entries.witch.body,Grimoire entry body text,"[Not a hag on a heath — a neighbour, with a trade and a doorstep and an opinion about the weather. She keeps the old compacts and asks the old prices, and the working she wears turns honest steel aside as if the air had gone thick. You will know her by her hand: hex-work is *drawn*, cut deliberate into lintels and thresholds, and a beast cannot draw and the dead do not need to. Do not go at her with good steel and confidence. The hex has to get hold of a thing to turn it, and it can get no hold at all on cold iron — bog iron, unsmelted, never near the forge fire. Wear the hex down or cut straight through it; either way, be carrying the pin.]"
grimoire.entries.witch.title,Grimoire entry title,[Of the Witch]
grimoire.entries.wolf.body,Grimoire entry body text,"[Honest beasts, if hungry ones. They come straight on and die like anything else. When wolves grow bold near a settlement, ask what emboldened them.]"
grimoire.entries.wolf.title,Grimoire entry title,[Of Wolves]
guide.how-it-began.body,"Guide entry body, shown when the entry is selected","[Every case has a beginning, and the beginning decides what your weapon must be quenched in. An old curse answers to what the parish blessed long ago. A wrong done between the living answers to earth from the wronged one's own plot. A broken compact answers to the seal that sealed it.|Read the beginning before you light the forge. You can carry all three reagents and be certain — but you will pay for that certainty in daylight, and daylight is the one thing you cannot craft.]"
guide.how-it-began.title,"Guide entry title, listed on the guide screen",[How It Began]
guide.if-it-goes-wrong.body,"Guide entry body, shown when the entry is selected","[There is always a second way through. Every case is built so that losing an informant, or a route, or a fight, leaves another road open — you will not be shut out of a case by one bad afternoon.|Attacking a villager is the exception. Do that and the settlement closes to you, prices rise, and whatever that person knew goes with them. Be certain before you draw on somebody with a face.]"
guide.if-it-goes-wrong.title,"Guide entry title, listed on the guide screen",[If It Goes Wrong]
guide.naming-the-thing.body,"Guide entry body, shown when the entry is selected","[You cannot hunt what you have not named. Naming takes two proofs, and at least one of them must rule something out.|A sign that merely agrees with your suspicion is not enough, however many you gather: three villagers all saying it felt wrong is three of the same nothing. What you need is the sign that says it cannot be the other thing — tracks that turn into bootprints, steel that turned aside, ground nobody has disturbed. Look for the clue that eliminates, and take the corroborating one on the way past.]"
guide.naming-the-thing.title,"Guide entry title, listed on the guide screen",[Naming the Thing]
guide.the-clock.body,"Guide entry body, shown when the entry is selected","[Travelling between the settlement, the wood and the outlying site costs a day. Nothing else does — walking about within one place is free, and so is talking, looking, and thinking.|So the expensive decision is never which clue to take. It is which map to be standing on. Plan your day around the trip, and do everything a place owes you before you leave it.]"
guide.the-clock.title,"Guide entry title, listed on the guide screen",[The Clock]
guide.the-counter.body,"Guide entry body, shown when the entry is selected","[Each kind of thing has one kind of death. A beast that mends itself needs silver. A hexed neighbour needs cold iron, dug from a bog and never near a fire. The risen dead need consecrated ground or a charm to strip their shadow.|Gather the makings, take them to a forge, and quench the work in what the beginning demands. Go to the final night without the counter in your pack and you are not hunting; you are visiting.]"
guide.the-counter.title,"Guide entry title, listed on the guide screen",[The Counter]
guide.the-hunt-itself.body,"Guide entry body, shown when the entry is selected","[When you have the name and the counter, go to it. A thing asleep in its grave takes the first blow for free, and that blow is worth more than any other you will land. A thing wearing a neighbour's face must be confronted where it stands.|Watch what it telegraphs. Nothing in this valley kills you without first telling you it is about to.]"
guide.the-hunt-itself.title,"Guide entry title, listed on the guide screen",[The Hunt Itself]
guide.the-shape-of-it.body,"Guide entry body, shown when the entry is selected","[Six days, three places, one thing killing people. You win by proving what it is, preparing the one thing that kills it, and then going to where it sleeps. You lose by running out of days. Everything else is detail.|Nothing you learn is ever lost. Dying costs you a day and nothing else — not your findings, not your pack. Days are the only thing you cannot get back, so spend them on work that narrows the answer.]"
guide.the-shape-of-it.title,"Guide entry title, listed on the guide screen",[The Shape of a Hunt]
guide.what-it-is-working-toward.body,"Guide entry body, shown when the entry is selected","[The thing in the valley is not merely feeding; it is doing something, and on the fourth day it will do more of it. Find the sign that says which, and you will know where to go to blunt it before it lands.|Pre-empting costs you a trip and a point. Not pre-empting costs you a stronger quarry on the last night. Neither is wrong, but choose on purpose.]"
guide.what-it-is-working-toward.title,"Guide entry title, listed on the guide screen",[What It Is Working Toward]
hunters.confessor.manoeuvres.aim.description,"Manoeuvre description, shown when inspecting the action",[Steady the flintlock. Your next ranged shot this encounter cannot miss.]
hunters.confessor.manoeuvres.aim.name,"Name of a hunter manoeuvre, shown in the action list",Aim
hunters.confessor.manoeuvres.sprint.description,"Manoeuvre description, shown when inspecting the action","[Move two tiles in a single direction, in one action.]"
hunters.confessor.manoeuvres.sprint.name,"Name of a hunter manoeuvre, shown in the action list",Sprint
hunters.confessor.name,"Hunter's name, shown on the hunter-select screen and status panel",[The Confessor]
hunters.confessor.signatures.press-the-witness.description,"Signature ability description, shown when inspecting the action","[Go back to a confession that stopped short and wait them out. A social lead a soured witness took with them opens again, there to be worked a second time.]"
hunters.confessor.signatures.press-the-witness.name,"Name of a hunter signature ability, shown in the action list",[Press the Witness]
hunters.confessor.signatures.stand-with-me.description,"Signature ability description, shown when inspecting the action","[Call in one of the many whose sins you have kept. For a while they stand at your shoulder, striking alongside you and taking a share of what is aimed your way.]"
hunters.confessor.signatures.stand-with-me.name,"Name of a hunter signature ability, shown in the action list",[Stand With Me]
hunters.confessor.title,"Hunter's title, shown under their name on the hunter-select screen","[A keeper of the parish's sins, owed by half the valley]"
hunters.huntress.manoeuvres.aim.description,"Manoeuvre description, shown when inspecting the action",[Steady the flintlock. Your next ranged shot this encounter cannot miss.]
hunters.huntress.manoeuvres.aim.name,"Name of a hunter manoeuvre, shown in the action list",Aim
hunters.huntress.manoeuvres.power-attack.description,"Manoeuvre description, shown when inspecting the action",[Put your weight behind the next blow. Your next melee strike deals half again its damage.]
hunters.huntress.manoeuvres.power-attack.name,"Name of a hunter manoeuvre, shown in the action list",[Power Attack]
hunters.huntress.manoeuvres.sprint.description,"Manoeuvre description, shown when inspecting the action","[Move two tiles in a single direction, in one action.]"
hunters.huntress.manoeuvres.sprint.name,"Name of a hunter manoeuvre, shown in the action list",Sprint
hunters.huntress.name,"Hunter's name, shown on the hunter-select screen and status panel",[The Huntress]
hunters.huntress.signatures.killing-blow.description,"Signature ability description, shown when inspecting the action","[A single perfect strike for double damage, against a foe that is held fast or already gravely wounded.]"
hunters.huntress.signatures.killing-blow.name,"Name of a hunter signature ability, shown in the action list",[Killing Blow]
hunters.huntress.signatures.set-snare.description,"Signature ability description, shown when inspecting the action","[Rig a hunting snare on an adjacent tile. The first enemy to step in is held fast for three turns: it cannot move, pounce, or dash, and its flailing blows falter.]"
hunters.huntress.signatures.set-snare.name,"Name of a hunter signature ability, shown in the action list",[Set Snare]
hunters.huntress.title,"Hunter's title, shown under their name on the hunter-select screen","[A hunter of beasts, who has learned that some beasts wear faces]"
hunters.occultist.manoeuvres.aim.description,"Manoeuvre description, shown when inspecting the action",[Steady the flintlock. Your next ranged shot this encounter cannot miss.]
hunters.occultist.manoeuvres.aim.name,"Name of a hunter manoeuvre, shown in the action list",Aim
hunters.occultist.manoeuvres.sprint.description,"Manoeuvre description, shown when inspecting the action","[Move two tiles in a single direction, in one action.]"
hunters.occultist.manoeuvres.sprint.name,"Name of a hunter manoeuvre, shown in the action list",Sprint
hunters.occultist.name,"Hunter's name, shown on the hunter-select screen and status panel",[The Occultist]
hunters.occultist.signatures.read-the-sign.description,"Signature ability description, shown when inspecting the action",[Sit with a sign you have already found and read it properly. One ambiguous proof you are carrying becomes decisive: it stops agreeing with your suspicion and starts ruling out the alternatives.]
hunters.occultist.signatures.read-the-sign.name,"Name of a hunter signature ability, shown in the action list",[Read the Sign]
hunters.occultist.signatures.ward-the-ground.description,"Signature ability description, shown when inspecting the action","[Draw the old marks into the earth around you. For a while, nothing unnatural crosses that ground without being torn at for the crossing.]"
hunters.occultist.signatures.ward-the-ground.name,"Name of a hunter signature ability, shown in the action list",[Ward the Ground]
hunters.occultist.title,"Hunter's title, shown under their name on the hunter-select screen","[A scholar of the old compacts, tolerated because she is useful]"
items.binding-charm.description,"Item description, shown when inspecting it in the pack","[Grave-dust and moon-herb sewn in a caul. Pressed close to the risen dead, it strips their shroud of shadow for five long breaths.]"
items.binding-charm.name,"Item name, shown in the pack and in loot messages",[Binding Charm]
items.bitter-root.description,"Item description, shown when inspecting it in the pack",[A twisted root that numbs the tongue and cleans a wound.]
items.bitter-root.name,"Item name, shown in the pack and in loot messages",Bitter-root
items.coin.description,"Item description, shown when inspecting it in the pack","[Honest silver pennies. Good for trade, useless against the dark.]"
items.coin.name,"Item name, shown in the pack and in loot messages",Coin
items.cold-iron-pin.description,"Item description, shown when inspecting it in the pack","[A long pin of unworked cold iron, never near a forge fire. A hex slides off honest steel; it cannot get a grip on this at all.]"
items.cold-iron-pin.name,"Item name, shown in the pack and in loot messages",[Cold Iron Pin]
items.cold-iron.description,"Item description, shown when inspecting it in the pack","[Bog iron, never smelted, never blessed. The old women say the older things cannot abide it, and for once the old women are right.]"
items.cold-iron.name,"Item name, shown in the pack and in loot messages",[Cold Iron]
items.covenant-seal.description,"Item description, shown when inspecting it in the pack","[Half a broken wax seal off an old compact — the promise made, and the promise withheld. What ruined the bargain can be turned against what the bargain became.]"
items.covenant-seal.name,"Item name, shown in the pack and in loot messages",[Covenant Seal]
items.flintlock-shot.description,"Item description, shown when inspecting it in the pack",[A cast lead ball and a measure of powder.]
items.flintlock-shot.name,"Item name, shown in the pack and in loot messages",[Flintlock Shot]
items.flintlock.description,"Item description, shown when inspecting it in the pack","[A horse-pistol that throws a heavy ball. Slow to trust, loud as judgement.]"
items.flintlock.name,"Item name, shown in the pack and in loot messages",Flintlock
items.grave-dust.description,"Item description, shown when inspecting it in the pack","[Earth from a consecrated grave, dry as old paper.]"
items.grave-dust.name,"Item name, shown in the pack and in loot messages",Grave-dust
items.hallowed-water.description,"Item description, shown when inspecting it in the pack","[Water from the parish font, blessed at a season nobody now remembers. It answers what was cursed a long time ago.]"
items.hallowed-water.name,"Item name, shown in the pack and in loot messages",[Hallowed Water]
items.hunting-blade.description,"Item description, shown when inspecting it in the pack","[A long working knife, kept wickedly sharp.]"
items.hunting-blade.name,"Item name, shown in the pack and in loot messages",[Hunting Blade]
items.iron-charm.description,"Item description, shown when inspecting it in the pack",[A comforting trinket of cold iron. The folk swear by it. The folk are wrong.]
items.iron-charm.name,"Item name, shown in the pack and in loot messages",[Iron Charm]
items.moon-herb.description,"Item description, shown when inspecting it in the pack",[A silver-leafed herb that only shows itself by night.]
items.moon-herb.name,"Item name, shown in the pack and in loot messages",Moon-herb
items.silver-bullet.description,"Item description, shown when inspecting it in the pack","[A ball of true silver. Against the beast it bites to the curse's heart, and what it wounds does not heal.]"
items.silver-bullet.name,"Item name, shown in the pack and in loot messages",[Silver Bullet]
items.silver.description,"Item description, shown when inspecting it in the pack","[A fist of pale metal, cold to the touch.]"
items.silver.name,"Item name, shown in the pack and in loot messages",[Raw Silver]
items.wound-draught.description,"Item description, shown when inspecting it in the pack","[A bitter physic of moon-herb. Drinking it costs you the moment, but knits torn flesh.]"
items.wound-draught.name,"Item name, shown in the pack and in loot messages",[Wound Draught]
items.wronged-earth.description,"Item description, shown when inspecting it in the pack","[A handful of soil from the plot of the one who was wronged. It carries the debt, and a debt can be made to answer.]"
items.wronged-earth.name,"Item name, shown in the pack and in loot messages",[Wronged Earth]
log.accusation.correct,Log line when your two proofs name the quarry correctly,[The proofs agree. Your quarry is {quarry}. Now you may hunt.]
log.clock.day-turns,"Log line at the end of a day, with days spent against the total",[The day turns. ({spent} of {total} spent)]
log.clue.can-name-quarry,Log line when the evidence is finally decisive enough to name the villain,"[Two proofs corroborate, and one of them rules the alternatives out. You could name your quarry now.]"
log.clue.new-lead,Log line when a new lead opens up,[New lead: {lead}.]
log.clue.not-decisive,Log line when two proofs agree but neither rules an alternative out,[The signs agree with each other — but they would agree with more than one answer. You need something that rules an alternative out.]
log.clue.origin-settled,"Log line when the case's origin is proven, naming it",[That settles how this began: {origin}. Any counter you make must be quenched accordingly.]
log.clue.resting-place,Log line when you learn where the villain rests,[You know where the thing rests.]
log.clue.scrap,Log line when searching a body turns up a lead,"[Among its effects, a scrap that points somewhere: {what}.]"
log.combat.enemy-melee-hit,Log line when an enemy hits the hunter in melee,[The {name} strikes you for {damage}.]
log.combat.enemy-melee-miss,Log line when an enemy misses the hunter in melee,[The {name} lunges and misses.]
log.combat.enemy-ranged-hit,Log line when an enemy's shot hits the hunter,[The {name}'s shot tears into you for {damage}.]
log.combat.enemy-ranged-miss,Log line when an enemy's shot misses,[The {name}'s shot goes wide.]
log.combat.has-scent,Log line when an enemy notices the hunter,[The {name} has your scent.]
log.combat.melee-miss,Log line when your melee attack misses,[Your blow goes wide.]
log.combat.pounce,Telegraph the moment the beast leaps,[The beast leaps!]
log.combat.pounce-blocked,Log line when the beast's leap is denied a clear lane,"[The beast checks its leap, lane broken.]"
log.combat.ranged-miss,Log line when your shot misses,[The shot cracks past its head.]
log.combat.silver-bites,Log line when silver wounds a villain whose flesh cannot close it,[The silver bites to the curse's heart. The wound does not close.]
log.combat.slain,Log line when an ordinary enemy dies,[The {target} is slain.]
log.combat.snare-broken,Log line when a snared enemy breaks loose,[The {name} tears free of the snare.]
log.combat.strike,Log line when you land a hit,[You strike the {target} for {damage}.]
log.combat.villain-destroyed,Log line when the villain is finally destroyed,[The {villain} comes apart into cold ash. The valley is delivered.]
log.craft.done,Log line when you finish crafting,[You craft: {item}.]
log.discovery.opportunity,Log line when something investigable comes into view,[Something worth a closer look: {what}.]
log.force.barred-door,Log line when you force a barred door open,[The bar splinters and the door swings free.]
log.force.rubble,Log line when you clear fallen rubble,"[Stone by stone, you heave the rubble aside until there is a way through.]"
log.grave.empty,Log line when you open an empty grave,[Empty. The earth here never held a coffin at all.]
log.grave.mundane,Log line when you open an ordinary grave,"[Old bones, folded hands: an honest death, honestly buried.]"
log.grave.open,Log line when you dig open a grave,[You put your back into it and open {grave}.]
log.item.carried-in,Log line for an item the run opened with,[You came in carrying: {item}.]
log.item.charm-no-hold,Log line when a binding charm is spent on something it cannot hold,"[The charm crumbles to dust. Whatever this thing is, grave-craft has no hold on it.]"
log.item.charm-strips-shroud,Log line when a binding charm strips the revenant's shroud,[The charm flares against the revenant. Its shroud of shadow is stripped away!]
log.item.charm-wasted,Log line when a binding charm is spent on an ordinary creature,[The charm crumbles uselessly against mere flesh.]
log.item.draught,Log line when you drink a wound draught,[You drink the bitter draught; torn flesh knits.]
log.item.gained,Log line when you gain an item,[Gained: {item}.]
log.loot.coin,Log line when a slain enemy drops coin,[It carried a little coin.]
log.loot.dropped,Log line when a slain enemy drops an item,[It dropped: {item}.]
log.manoeuvre.aim,Log line when the hunter takes aim,[You take a long breath and {what}.]
log.manoeuvre.power-attack,Log line when you ready a power attack,[You set your weight for a heavy blow.]
log.manoeuvre.sprint,Log line when you sprint,[You sprint.]
log.outcome.death-costs-a-day,Log line when you die before the final night and lose a day,"[Darkness takes you... but not for good. You wake in the settlement, a day poorer, your effects intact.]"
log.outcome.final-death,Log line when you die on the final night,"[You fall, and this time there is no morning. The valley belongs to the dark now.]"
log.outcome.revenant-unravels,Log line when the revenant is destroyed on consecrated ground,[On holy ground the revenant unravels into cold ash. The valley is delivered.]
log.rite.consecration,Log line when you complete the consecration rite,[You spend the evening at the rite. By its end the church ground is warded against the risen dead.]
log.run.arrive,Opening line of a run: the hunter reaches the valley,[{hunter} arrives in {place}.]
log.signature.killing-blow,Log line when you line up a killing blow,[You measure the killing blow.]
log.signature.press-the-witness,Log line when the Advocate re-opens a lost social lead,"[You go back and lean on it, gently, until it gives: {lead} is open to you again.]"
log.signature.read-the-sign,Log line when the Occultist reinterprets an ambiguous sign into a proof,[You sit with it until it gives: {sign} stops agreeing with your suspicion and starts ruling out everything else.]
log.signature.second-departs,Log line when the Advocate's second leaves the fight,"[Their nerve or their errand takes them, and you are standing alone again.]"
log.signature.second-in-the-fight,Log line when the Advocate calls in a villager to stand with her,[Someone who owes you steps up out of the dark and sets their back to yours.]
log.signature.snare,Log line when you set a snare,"[You rig a snare, quick and quiet.]"
log.signature.snare-catches,Log line when a snare catches an enemy,[The snare snaps tight! The {name} is held fast.]
log.signature.ward-ground,Log line when the Occultist wards the ground around her,[You draw the old marks into the earth. The air over them goes tight.]
log.social.blackmailed,Log line when an NPC's secret buys their cooperation,[{name} pales. They will cooperate — for silence.]
log.social.favour,Log line when an NPC grants you a mystic favour,"[A favour granted: for a while, the other world will answer you.]"
log.social.hostile-answer,Log line when a hostile villager barely answers,"[{npc} answers in single words, wishing you gone.]"
log.social.link-observed,Log line when watching two villagers together reveals their relationship,[You watch them together and understand: {what}]
log.social.mark-npc,Log line when the hunter first notes who someone is,"[You mark {npc}, the {role}.]"
log.social.murdered,Log line when you kill an innocent villager,[{npc} falls. No curse leaves the body. You have murdered a villager.]
log.social.nothing-new,Log line when questioning reveals nothing you did not know,[Nothing new: you already know their entanglements.]
log.social.settlement-turns,Log line when the settlement turns against you for killing a villager,[Doors bar as you pass. The settlement has turned against you; whatever that villager knew or held is beyond reach now.]
log.social.wary-answer,Log line when a wary villager gives away little,"[{npc} answers you carefully, giving away little.]"
log.social.wounded-innocent,Log line when you wound an innocent villager who then flees,"[{npc} screams and flees, bleeding. There was no monster in them.]"
log.trade.ammunition,Log line when a villager sells the hunter ammunition,[{npc} sells you powder and ball.]
log.travel.ambush,Log line when travelling is interrupted by an ambush,[The undergrowth erupts — an ambush on the road!]
log.travel.arrive,Log line on arriving somewhere new,[You arrive at {place}.]
log.travel.depart,Log line when you set off for another place,[You take the road toward {place}.]
log.travel.flee,Log line when you break off a fight to travel,[You break away and flee toward {place}.]
log.travel.route-out,"Log line on stepping onto a road tile, warning what travel costs",[A route out. Travelling will spend a day.]
log.turn.wait,Log line when you pass a turn deliberately,"[You wait, watching.]"
log.villain.final-night-drops-pretence,Log line on the sixth night when the disguised villain drops its cover,[The sixth night falls. The {villain} drops all pretence — it has come for you.]
log.villain.final-night-hunts,Log line on the sixth night when the villain comes for the hunter,[The sixth night falls. The {villain} is done waiting — it has come for you.]
log.villain.grave-opened,Log line when the dormant villain is found whole in its grave,"[The coffin lid comes away — and the thing within is whole. {villain} lies before you, dreaming its errand.]"
log.villain.grave-stirs,Telegraph when the thing in the grave begins to stir,[The thing in the grave stirs.]
log.villain.grave-wakes,Log line when the dormant villain's grave wakes for good,[The earth shifts. Whatever slept here sleeps no longer.]
log.villain.rises,Log line when the dormant villain wakes and rises from its grave,[The thing's eyes open. It rises from the earth in one terrible motion.]
log.villain.unmasked,Log line when a villain hiding as a villager is exposed,[{name}'s face comes apart like a torn mask. The {villain} stands where your neighbour stood!]
log.ward.crossed,Log line when an unnatural thing crosses the Occultist's warded ground,"[The marks flare as the {name} crosses them, and it comes away torn.]"
log.ward.expired,Log line when the Occultist's warded ground runs out,[The marks go quiet. The ground is only ground again.]
log.ward.sears-revenant,Log line when warded ground burns the revenant,[The warded ground sears the revenant; grave-shadow boils away.]
machines.bell-rope.name,"Machine name, shown on the map and action list",[The bell rope]
machines.bell-rope.prompt,"Machine prompt, shown before it is worked",[The great bell has hung silent since the trouble began. Everything in this valley knows what it means when it speaks.]
machines.bell-rope.reveal,"Machine result, logged when it is worked",[You haul the rope and the bell goes out over the roofs like a struck sky. Everything ill-meant within earshot flinches away from it.]
machines.mill-sluice.name,"Machine name, shown on the map and action list",[The sluice gear]
machines.mill-sluice.prompt,"Machine prompt, shown before it is worked","[The sluice stands open and the race runs full. The gear is stiff, but it is a gear, and gears turn.]"
machines.mill-sluice.reveal,"Machine result, logged when it is worked",[You put your back into the wheel and the sluice grinds shut. The race falls away to mud and gravel; by the time you straighten up there is a crossing where the water was.]
machines.smugglers-way.name,"Machine name, shown on the map and action list",[The smugglers' way]
machines.smugglers-way.prompt,"Machine prompt, shown before it is worked","[Scuffed stone and a draught where no draught should be. Somebody moved goods through this wall once, and walls remember.]"
machines.smugglers-way.reveal,"Machine result, logged when it is worked","[The false facing comes away, and there is the way through: low, dark, and older than the barred door it was cut to avoid.]"
machines.warding-stone.name,"Machine name, shown on the map and action list",[The warding stone]
machines.warding-stone.prompt,"Machine prompt, shown before it is worked","[The smallest of the standing stones is loose in its socket, and the marks on it are the turning kind. It could be faced a different way.]"
machines.warding-stone.reveal,"Machine result, logged when it is worked","[You heave the stone about to face the old quarter. The air over the ground tightens, and the ground itself takes a side.]"
maps.outlying-abbey.description,"Map description, shown on the travel screen","[An abbey the river took back. Roofless walls, a flooded cloister, and a crypt that has stayed dry rather longer than it should have.]"
maps.outlying-abbey.name,"Map name, shown on the travel screen and status panel",[Saint Ceolwulf's]
maps.outlying-abbey.packs.herons-year.label,"Variation-pack note, logged the first time the hunter arrives on this map","[It is a heron year on the flood, dozens of them, grey and patient and wrong for the season.]"
maps.outlying-abbey.packs.pilgrims-camp.label,"Variation-pack note, logged the first time the hunter arrives on this map","[Pilgrims still come to the drowned abbey, and their camp stands nearer the road this year.]"
maps.outlying-abbey.slots.campsite.label,"Landmark name, shown when inspecting this spot on the map",[the campsite]
maps.outlying-abbey.slots.crypt-1.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 1]
maps.outlying-abbey.slots.crypt-2.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 2]
maps.outlying-abbey.slots.crypt-3.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 3]
maps.outlying-abbey.slots.crypt-4.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 4]
maps.outlying-abbey.slots.crypt-5.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 5]
maps.outlying-abbey.slots.crypt-6.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 6]
maps.outlying-abbey.slots.crypt-7.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 7]
maps.outlying-abbey.slots.crypt-8.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 8]
maps.outlying-abbey.slots.family-plot-1.label,"Landmark name, shown when inspecting this spot on the map",[the family plot 1]
maps.outlying-abbey.slots.family-plot-2.label,"Landmark name, shown when inspecting this spot on the map",[the family plot 2]
maps.outlying-abbey.slots.family-plot-3.label,"Landmark name, shown when inspecting this spot on the map",[the family plot 3]
maps.outlying-abbey.slots.manor-cellar.label,"Landmark name, shown when inspecting this spot on the map",[the manor cellar]
maps.outlying-abbey.slots.manor-hall.label,"Landmark name, shown when inspecting this spot on the map",[the manor hall]
maps.outlying-abbey.slots.manor-study.label,"Landmark name, shown when inspecting this spot on the map",[the manor study]
maps.outlying-abbey.slots.well.label,"Landmark name, shown when inspecting this spot on the map",[the well]
maps.outlying.description,"Map description, shown on the travel screen","[A manor abandoned to damp and worse. The family crypt still stands in the grounds, and someone barred its door from the outside.]"
maps.outlying.name,"Map name, shown on the travel screen and status panel",[The Forsaken Manor]
maps.outlying.packs.looters-been.label,"Variation-pack note, logged the first time the hunter arrives on this map","[Somebody has been at the manor before you, and by the tracks they have not entirely left.]"
maps.outlying.packs.overgrown.label,"Variation-pack note, logged the first time the hunter arrives on this map",[Nobody has cut anything back here in years; the gardens have closed over like water.]
maps.outlying.slots.campsite.label,"Landmark name, shown when inspecting this spot on the map",[the campsite]
maps.outlying.slots.crypt-1.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 1]
maps.outlying.slots.crypt-2.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 2]
maps.outlying.slots.crypt-3.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 3]
maps.outlying.slots.crypt-4.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 4]
maps.outlying.slots.crypt-5.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 5]
maps.outlying.slots.crypt-6.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 6]
maps.outlying.slots.crypt-7.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 7]
maps.outlying.slots.crypt-8.label,"Landmark name, shown when inspecting this spot on the map",[the crypt 8]
maps.outlying.slots.family-plot-1.label,"Landmark name, shown when inspecting this spot on the map",[the family plot 1]
maps.outlying.slots.family-plot-2.label,"Landmark name, shown when inspecting this spot on the map",[the family plot 2]
